filename,left_speed,right_speed
00000.jpg,0.0,1.2
00001.jpg,0,0
00002.jpg,0,0
00003.jpg,0,0
00004.jpg,0,0
00005.jpg,0,0
00006.jpg,9,4
00007.jpg,14,10
00008.jpg,20,17
00009.jpg,20,17
00010.jpg,20,17
00011.jpg,20,17
00012.jpg,20,17
00013.jpg,20,17
00014.jpg,20,17
00015.jpg,20,17
00016.jpg,20,17
00017.jpg,20,17
00018.jpg,20,17
00019.jpg,20,17
00020.jpg,20,18
00021.jpg,20,18
00022.jpg,20,18
00023.jpg,20,18
00024.jpg,20,18
00025.jpg,20,20
00026.jpg,20,20
00027.jpg,20,20
00028.jpg,20,20
00029.jpg,20,20
00030.jpg,20,20
00031.jpg,20,20
00032.jpg,0,0
00033.jpg,0,0
00034.jpg,0,0
00035.jpg,0,0
00036.jpg,0,0
00037.jpg,0,0
00038.jpg,0,0
00039.jpg,0,0
00040.jpg,0,0
00041.jpg,0,0
00042.jpg,0,0
00043.jpg,0,0
00044.jpg,0,0
00045.jpg,0,0
00046.jpg,0,0
00047.jpg,0,0
00048.jpg,5,4
00049.jpg,6,6
00050.jpg,8,7
00051.jpg,8,8
00052.jpg,9,9
00053.jpg,9,9
00054.jpg,9,9
00055.jpg,9,9
00056.jpg,9,9
00057.jpg,9,9
00058.jpg,9,9
00059.jpg,10,4
00060.jpg,10,0
00061.jpg,10,0
00062.jpg,10,0
00063.jpg,10,0
00064.jpg,10,0
00065.jpg,10,0
00066.jpg,10,0
00067.jpg,10,0
00068.jpg,10,0
00069.jpg,11,0
00070.jpg,11,1
00071.jpg,11,1
00072.jpg,11,5
00073.jpg,11,8
00074.jpg,11,8
00075.jpg,11,8
00076.jpg,11,8
00077.jpg,11,8
00078.jpg,11,8
00079.jpg,11,8
00080.jpg,11,8
00081.jpg,11,8
00082.jpg,11,8
00083.jpg,11,8
00084.jpg,11,8
00085.jpg,11,8
00086.jpg,11,8
00087.jpg,11,10
00088.jpg,11,10
00089.jpg,11,10
00090.jpg,11,10
00091.jpg,11,10
00092.jpg,11,10
00093.jpg,0,2
00094.jpg,0,0
00095.jpg,0,0
00096.jpg,0,0
00097.jpg,0,0
00098.jpg,0,0
00099.jpg,0,0
00100.jpg,8,12
00101.jpg,8,12
00102.jpg,8,12
00103.jpg,8,12
00104.jpg,8,12
00105.jpg,8,12
00106.jpg,8,12
00107.jpg,8,12
00108.jpg,8,12
00109.jpg,8,12
00110.jpg,8,12
00111.jpg,9,12
00112.jpg,10,12
00113.jpg,10,12
00114.jpg,10,12
00115.jpg,13,12
00116.jpg,14,12
00117.jpg,14,12
00118.jpg,15,12
00119.jpg,15,12
00120.jpg,15,12
00121.jpg,15,12
00122.jpg,15,12
00123.jpg,15,12
00124.jpg,15,12
00125.jpg,15,12
00126.jpg,15,12
00127.jpg,0,0
00128.jpg,0,0
00129.jpg,0,0
00130.jpg,0,0
00131.jpg,0,0
00132.jpg,0,-2
00133.jpg,0,-11
00134.jpg,0,-11
00135.jpg,0,-11
00136.jpg,0,-10
00137.jpg,0,0
00138.jpg,0,0
00139.jpg,0,-10
00140.jpg,0,-11
00141.jpg,0,-10
00142.jpg,0,-10
00143.jpg,0,-10
00144.jpg,0,-10
00145.jpg,0,-10
00146.jpg,0,-10
00147.jpg,0,-10
00148.jpg,0,-10
00149.jpg,0,-10
00150.jpg,0,-9
00151.jpg,0,-9
00152.jpg,0,-11
00153.jpg,0,-10
00154.jpg,0,-11
00155.jpg,0,-11
00156.jpg,0,-11
00157.jpg,0,-11
00158.jpg,0,-11
00159.jpg,0,-11
00160.jpg,0,-11
00161.jpg,0,-11
00162.jpg,0,-13
00163.jpg,0,-11
00164.jpg,0,-11
00165.jpg,0,-11
00166.jpg,0,-10
00167.jpg,0,0
00168.jpg,0,0
00169.jpg,0,0
00170.jpg,0,0
00171.jpg,0,0
00172.jpg,0,0
00173.jpg,0,0
00174.jpg,12,16
00175.jpg,16,18
00176.jpg,16,18
00177.jpg,16,18
00178.jpg,16,18
00179.jpg,24,20
00180.jpg,25,22
00181.jpg,25,25
00182.jpg,25,25
00183.jpg,25,25
00184.jpg,25,25
00185.jpg,25,25
00186.jpg,25,25
00187.jpg,25,25
00188.jpg,25,25
00189.jpg,25,25
00190.jpg,25,25
00191.jpg,25,25
00192.jpg,25,25
00193.jpg,25,25
00194.jpg,25,22
00195.jpg,25,23
00196.jpg,25,23
00197.jpg,25,23
00198.jpg,25,19
00199.jpg,25,19
00200.jpg,25,19
00201.jpg,25,19
00202.jpg,25,20
00203.jpg,25,20
00204.jpg,25,25
00205.jpg,25,25
00206.jpg,25,25
00207.jpg,25,25
00208.jpg,25,25
00209.jpg,25,25
00210.jpg,25,25
00211.jpg,25,25
00212.jpg,25,25
00213.jpg,0,25
00214.jpg,0,0
00215.jpg,0,0
00216.jpg,0,0
00217.jpg,0,0
00218.jpg,0,0
00219.jpg,0,0
00220.jpg,14,8
00221.jpg,14,9
00222.jpg,14,9
00223.jpg,14,9
00224.jpg,14,9
00225.jpg,14,12
00226.jpg,14,14
00227.jpg,14,16
00228.jpg,14,16
00229.jpg,14,16
00230.jpg,14,16
00231.jpg,14,17
00232.jpg,14,17
00233.jpg,14,17
00234.jpg,18,17
00235.jpg,22,17
00236.jpg,24,17
00237.jpg,24,17
00238.jpg,24,17
00239.jpg,24,17
00240.jpg,24,18
00241.jpg,24,19
00242.jpg,24,25
00243.jpg,24,25
00244.jpg,24,25
00245.jpg,24,25
00246.jpg,24,25
00247.jpg,24,25
00248.jpg,24,25
00249.jpg,24,25
00250.jpg,24,25
00251.jpg,24,25
00252.jpg,24,25
00253.jpg,24,25
00254.jpg,24,25
00255.jpg,23,25
00256.jpg,22,25
00257.jpg,22,25
00258.jpg,20,24
00259.jpg,0,0
00260.jpg,0,0
00261.jpg,0,0
00262.jpg,0,0
00263.jpg,0,0
00264.jpg,0,0
00265.jpg,0,0
00266.jpg,0,0
00267.jpg,25,25
00268.jpg,25,25
00269.jpg,25,25
00270.jpg,25,25
00271.jpg,25,25
00272.jpg,25,25
00273.jpg,25,25
00274.jpg,25,25
00275.jpg,25,25
00276.jpg,25,25
00277.jpg,25,25
00278.jpg,25,25
00279.jpg,25,25
00280.jpg,25,25
00281.jpg,25,25
00282.jpg,25,25
00283.jpg,25,25
00284.jpg,25,25
00285.jpg,25,25
00286.jpg,25,25
00287.jpg,25,25
00288.jpg,25,25
00289.jpg,25,25
00290.jpg,25,25
00291.jpg,25,25
00292.jpg,25,25
00293.jpg,25,25
00294.jpg,25,25
00295.jpg,25,25
00296.jpg,25,25
00297.jpg,25,25
00298.jpg,25,25
00299.jpg,25,25
00300.jpg,0,0
00301.jpg,0,0
00302.jpg,0,0
00303.jpg,0,0
00304.jpg,0,0
00305.jpg,0,0
00306.jpg,0,0
00307.jpg,3,4
00308.jpg,3,7
00309.jpg,3,8
00310.jpg,4,8
00311.jpg,4,8
00312.jpg,5,8
00313.jpg,5,8
00314.jpg,6,8
00315.jpg,8,8
00316.jpg,8,8
00317.jpg,8,8
00318.jpg,8,8
00319.jpg,8,8
00320.jpg,8,8
00321.jpg,8,8
00322.jpg,8,9
00323.jpg,8,10
00324.jpg,8,10
00325.jpg,8,10
00326.jpg,8,10
00327.jpg,8,13
00328.jpg,8,14
00329.jpg,8,14
00330.jpg,8,14
00331.jpg,10,14
00332.jpg,13,14
00333.jpg,13,14
00334.jpg,13,14
00335.jpg,13,14
00336.jpg,13,14
00337.jpg,13,14
00338.jpg,12,15
00339.jpg,12,15
00340.jpg,12,15
00341.jpg,12,15
00342.jpg,12,15
00343.jpg,12,15
00344.jpg,12,15
00345.jpg,12,15
00346.jpg,12,15
00347.jpg,12,15
00348.jpg,12,15
00349.jpg,12,15
00350.jpg,12,15
00351.jpg,12,15
00352.jpg,12,15
00353.jpg,12,15
00354.jpg,12,16
00355.jpg,12,16
00356.jpg,12,16
00357.jpg,12,16
00358.jpg,12,16
00359.jpg,12,16
00360.jpg,12,16
00361.jpg,12,16
00362.jpg,12,16
00363.jpg,12,16
00364.jpg,12,16
00365.jpg,12,16
00366.jpg,9,10
00367.jpg,0,0
00368.jpg,0,0
00369.jpg,0,0
00370.jpg,0,0
00371.jpg,0,0
00372.jpg,0,0
00373.jpg,0,0
00374.jpg,0,0
00375.jpg,0,4
00376.jpg,0,4
00377.jpg,0,6
00378.jpg,0,6
00379.jpg,4,6
00380.jpg,5,6
00381.jpg,6,6
00382.jpg,8,6
00383.jpg,8,6
00384.jpg,8,6
00385.jpg,9,6
00386.jpg,9,6
00387.jpg,9,6
00388.jpg,9,6
00389.jpg,9,6
00390.jpg,9,8
00391.jpg,9,8
00392.jpg,9,8
00393.jpg,9,8
00394.jpg,9,8
00395.jpg,9,8
00396.jpg,9,8
00397.jpg,9,9
00398.jpg,9,12
00399.jpg,8,12
00400.jpg,8,12
00401.jpg,8,13
00402.jpg,8,13
00403.jpg,8,13
00404.jpg,8,13
00405.jpg,8,13
00406.jpg,8,13
00407.jpg,8,13
00408.jpg,8,13
00409.jpg,8,13
00410.jpg,8,13
00411.jpg,8,13
00412.jpg,8,13
00413.jpg,8,13
00414.jpg,9,13
00415.jpg,10,13
00416.jpg,20,13
00417.jpg,21,13
00418.jpg,25,11
00419.jpg,25,6
00420.jpg,25,5
00421.jpg,25,5
00422.jpg,25,5
00423.jpg,25,5
00424.jpg,25,7
00425.jpg,25,9
00426.jpg,25,12
00427.jpg,25,12
00428.jpg,25,12
00429.jpg,25,12
00430.jpg,25,12
00431.jpg,25,12
00432.jpg,25,12
00433.jpg,25,16
00434.jpg,25,16
00435.jpg,25,17
00436.jpg,25,23
00437.jpg,25,23
00438.jpg,25,23
00439.jpg,25,23
00440.jpg,25,23
00441.jpg,25,23
00442.jpg,20,20
00443.jpg,0,0
00444.jpg,0,0
00445.jpg,0,0
00446.jpg,0,0
00447.jpg,0,0
00448.jpg,0,0
00449.jpg,0,0
00450.jpg,0,0
00451.jpg,25,17
00452.jpg,25,18
00453.jpg,25,18
00454.jpg,25,19
00455.jpg,25,19
00456.jpg,25,19
00457.jpg,25,19
00458.jpg,25,20
00459.jpg,25,20
00460.jpg,22,20
00461.jpg,11,20
00462.jpg,0,0
00463.jpg,0,0
00464.jpg,0,0
00465.jpg,0,0
00466.jpg,0,0
00467.jpg,0,0
00468.jpg,0,0
00469.jpg,0,0
00470.jpg,0,0
00471.jpg,3,11
00472.jpg,3,12
00473.jpg,4,12
00474.jpg,4,12
00475.jpg,5,12
00476.jpg,9,12
00477.jpg,10,12
00478.jpg,11,12
00479.jpg,11,12
00480.jpg,11,12
00481.jpg,11,12
00482.jpg,11,13
00483.jpg,11,13
00484.jpg,11,14
00485.jpg,11,14
00486.jpg,11,15
00487.jpg,11,15
00488.jpg,11,16
00489.jpg,11,16
00490.jpg,11,16
00491.jpg,11,17
00492.jpg,11,17
00493.jpg,13,17
00494.jpg,13,17
00495.jpg,14,17
00496.jpg,14,17
00497.jpg,14,17
00498.jpg,14,17
00499.jpg,14,17
00500.jpg,14,17
00501.jpg,14,17
00502.jpg,14,17
00503.jpg,14,17
00504.jpg,14,17
00505.jpg,14,17
00506.jpg,14,17
00507.jpg,14,17
00508.jpg,14,17
00509.jpg,14,17
00510.jpg,14,17
00511.jpg,14,17
00512.jpg,14,17
00513.jpg,14,17
00514.jpg,14,17
00515.jpg,13,17
00516.jpg,0,-1
00517.jpg,0,0
00518.jpg,0,0
00519.jpg,0,0
00520.jpg,0,0
00521.jpg,0,0
00522.jpg,0,0
00523.jpg,-2,0
00524.jpg,0,0
00525.jpg,0,0
00526.jpg,-1,0
00527.jpg,-1,0
00528.jpg,-4,0
00529.jpg,-8,0
00530.jpg,-8,0
00531.jpg,-6,0
00532.jpg,-6,0
00533.jpg,-6,0
00534.jpg,-6,0
00535.jpg,-5,0
00536.jpg,-6,0
00537.jpg,-6,0
00538.jpg,-6,0
00539.jpg,-6,0
00540.jpg,-6,0
00541.jpg,-6,0
00542.jpg,-6,0
00543.jpg,-6,0
00544.jpg,-6,0
00545.jpg,-6,0
00546.jpg,-6,0
00547.jpg,-6,0
00548.jpg,-6,0
00549.jpg,-6,0
00550.jpg,-6,0
00551.jpg,-6,0
00552.jpg,-6,0
00553.jpg,-5,0
00554.jpg,-5,0
00555.jpg,-4,0
00556.jpg,0,0
00557.jpg,0,0
00558.jpg,0,0
00559.jpg,0,0
00560.jpg,0,0
00561.jpg,0,0
00562.jpg,-25,25
00563.jpg,-25,25
00564.jpg,-25,25
00565.jpg,-25,25
00566.jpg,-25,25
00567.jpg,-25,25
00568.jpg,-25,25
00569.jpg,-25,25
00570.jpg,-25,25
00571.jpg,-25,25
00572.jpg,-25,25
00573.jpg,-25,25
00574.jpg,-25,25
00575.jpg,-25,25
00576.jpg,-25,25
00577.jpg,-25,25
