filename,left_speed,right_speed,session_id
00000.jpg,5,-5,0
00001.jpg,5,-5,0
00002.jpg,5,-5,0
00003.jpg,5,-5,0
00004.jpg,10,10,0
00005.jpg,5,-5,0
00006.jpg,5,-5,0
00007.jpg,5,-5,0
00008.jpg,7,13,0
00009.jpg,6,14,0
00010.jpg,-5,5,0
00011.jpg,3,17,0
00012.jpg,2,18,0
00013.jpg,2,18,0
00014.jpg,-5,5,0
00015.jpg,-5,5,0
00016.jpg,8,12,0
00017.jpg,-5,5,0
00018.jpg,-5,5,0
00019.jpg,14,6,0
00020.jpg,5,-5,0
00021.jpg,5,-5,0
00022.jpg,17,3,0
00023.jpg,5,-5,0
00024.jpg,5,-5,0
00025.jpg,5,-5,0
00026.jpg,14,6,0
00027.jpg,5,-5,0
00028.jpg,12,8,0
00029.jpg,5,-5,0
00030.jpg,9,11,0
00031.jpg,7,13,0
00032.jpg,6,14,0
00033.jpg,5,15,0
00034.jpg,4,16,0
00035.jpg,4,16,0
00036.jpg,-5,5,0
00037.jpg,7,13,0
00038.jpg,8,12,0
00039.jpg,9,11,0
00040.jpg,-5,5,0
00041.jpg,-5,5,0
00042.jpg,-5,5,0
00043.jpg,-5,5,0
00044.jpg,14,6,0
00045.jpg,16,4,0
00046.jpg,5,-5,0
00047.jpg,5,-5,0
00048.jpg,5,-5,0
00049.jpg,18,2,0
00050.jpg,18,2,0
00051.jpg,5,-5,0
00052.jpg,5,-5,0
00053.jpg,11,9,0
00054.jpg,8,12,0
00055.jpg,7,13,0
00056.jpg,6,14,0
00057.jpg,-5,5,0
00058.jpg,4,16,0
00059.jpg,4,16,0
00060.jpg,4,16,0
00061.jpg,5,15,0
00062.jpg,7,13,0
00063.jpg,-5,5,0
00064.jpg,-5,5,0
00065.jpg,13,7,0
00066.jpg,15,5,0
00067.jpg,15,5,0
00068.jpg,17,3,0
00069.jpg,18,2,0
00070.jpg,18,2,0
00071.jpg,17,3,0
00072.jpg,14,6,0
00073.jpg,12,8,0
00074.jpg,9,11,0
00075.jpg,6,14,0
00076.jpg,5,14,0
00077.jpg,3,14,0
00078.jpg,2,15,0
00079.jpg,2,15,0
00080.jpg,2,15,0
00081.jpg,-5,5,0
00082.jpg,7,11,0
00083.jpg,10,10,0
00084.jpg,11,9,0
00085.jpg,13,7,0
00086.jpg,14,6,0
00087.jpg,15,5,0
00088.jpg,15,5,0
00089.jpg,15,5,0
00090.jpg,5,-5,0
00091.jpg,11,6,0
00092.jpg,5,-5,0
00093.jpg,9,8,0
00094.jpg,7,8,0
00095.jpg,6,8,0
00096.jpg,5,8,0
00097.jpg,-5,5,0
00098.jpg,-5,5,0
00099.jpg,4,9,0
00100.jpg,4,9,0
00101.jpg,4,9,0
00102.jpg,4,8,0
00103.jpg,4,6,0
00104.jpg,-5,5,0
00105.jpg,-5,5,0
00106.jpg,8,6,0
00107.jpg,8,5,0
00108.jpg,10,5,0
00109.jpg,5,-5,0
00110.jpg,5,-5,0
00111.jpg,5,-5,0
00112.jpg,5,-5,0
00113.jpg,10,5,0
00114.jpg,8,4,0
00115.jpg,7,4,0
00116.jpg,5,4,0
00117.jpg,5,-5,0
00118.jpg,3,4,0
00119.jpg,3,5,0
00120.jpg,3,5,0
00121.jpg,1,3,0
00122.jpg,0,1,0
00123.jpg,0,1,0
00124.jpg,1,2,0
00125.jpg,1,2,0
00126.jpg,1,2,0
00127.jpg,1,2,0
00128.jpg,1,4,0
00129.jpg,2,5,0
00130.jpg,1,2,0
00131.jpg,0,0,0
00132.jpg,0,0,0
00133.jpg,1,2,0
00134.jpg,2,3,0
00135.jpg,2,3,0
00136.jpg,2,3,0
00137.jpg,-5,5,0
00138.jpg,-5,5,0
00139.jpg,2,2,0
00140.jpg,2,2,0
00141.jpg,3,3,0
00142.jpg,-5,5,0
00143.jpg,-5,5,0
00144.jpg,4,3,0
00145.jpg,4,3,0
00146.jpg,5,2,0
00147.jpg,5,-5,0
00148.jpg,5,2,0
00149.jpg,6,2,0
00150.jpg,8,2,0
00151.jpg,8,2,0
00152.jpg,5,-5,0
00153.jpg,5,-5,0
00154.jpg,1,0,0
00155.jpg,0,0,0
00156.jpg,0,0,0
00157.jpg,0,0,0
00158.jpg,0,0,0
00159.jpg,0,0,0
00160.jpg,0,0,0
00161.jpg,0,0,0
00162.jpg,0,0,0
00163.jpg,5,15,1
00164.jpg,-5,5,1
00165.jpg,4,16,1
00166.jpg,4,16,1
00167.jpg,5,15,1
00168.jpg,6,14,1
00169.jpg,7,13,1
00170.jpg,10,10,1
00171.jpg,12,8,1
00172.jpg,13,7,1
00173.jpg,5,-5,1
00174.jpg,5,-5,1
00175.jpg,15,5,1
00176.jpg,15,5,1
00177.jpg,15,5,1
00178.jpg,14,6,1
00179.jpg,11,9,1
00180.jpg,9,11,1
00181.jpg,7,13,1
00182.jpg,5,15,1
00183.jpg,-5,5,1
00184.jpg,-5,5,1
00185.jpg,4,13,1
00186.jpg,3,12,1
00187.jpg,3,11,1
00188.jpg,4,11,1
00189.jpg,6,11,1
00190.jpg,-5,5,1
00191.jpg,10,8,1
00192.jpg,11,7,1
00193.jpg,5,-5,1
00194.jpg,14,6,1
00195.jpg,15,5,1
00196.jpg,15,5,1
00197.jpg,5,-5,1
00198.jpg,12,6,1
00199.jpg,11,7,1
00200.jpg,11,7,1
00201.jpg,5,-5,1
00202.jpg,6,8,1
00203.jpg,5,8,1
00204.jpg,4,7,1
00205.jpg,-5,5,1
00206.jpg,-5,5,1
00207.jpg,-5,5,1
00208.jpg,-5,5,1
00209.jpg,3,6,1
00210.jpg,-5,5,1
00211.jpg,5,6,1
00212.jpg,5,6,1
00213.jpg,-5,5,1
00214.jpg,-5,5,1
00215.jpg,-5,5,1
00216.jpg,-5,5,1
00217.jpg,7,3,1
00218.jpg,6,1,1
00219.jpg,5,-5,1
00220.jpg,5,-5,1
00221.jpg,5,-5,1
00222.jpg,5,-5,1
00223.jpg,6,1,1
00224.jpg,5,-5,1
00225.jpg,7,1,1
00226.jpg,5,-5,1
00227.jpg,9,4,1
00228.jpg,9,4,1
00229.jpg,8,4,1
00230.jpg,6,4,1
00231.jpg,5,-5,1
00232.jpg,3,4,1
00233.jpg,2,3,1
00234.jpg,1,1,1
00235.jpg,0,1,1
00236.jpg,-5,5,1
00237.jpg,-5,5,1
00238.jpg,-5,5,1
00239.jpg,-5,5,1
00240.jpg,2,4,1
00241.jpg,2,3,1
00242.jpg,1,3,1
00243.jpg,2,2,1
00244.jpg,2,2,1
00245.jpg,2,2,1
00246.jpg,2,2,1
00247.jpg,5,-5,1
00248.jpg,2,1,1
00249.jpg,5,-5,1
00250.jpg,5,-5,1
00251.jpg,5,-5,1
00252.jpg,2,2,1
00253.jpg,2,2,1
00254.jpg,1,1,1
00255.jpg,0,0,1
00256.jpg,0,0,1
00257.jpg,0,0,1
00258.jpg,0,0,1
00259.jpg,0,0,1
00260.jpg,0,0,1
00261.jpg,0,0,1
00262.jpg,30,20,2
00263.jpg,31,19,2
00264.jpg,32,18,2
00265.jpg,31,19,2
00266.jpg,29,21,2
00267.jpg,28,22,2
00268.jpg,26,24,2
00269.jpg,25,25,2
00270.jpg,23,27,2
00271.jpg,-5,5,2
00272.jpg,21,29,2
00273.jpg,20,29,2
00274.jpg,19,28,2
00275.jpg,19,26,2
00276.jpg,-5,5,2
00277.jpg,17,18,2
00278.jpg,20,20,2
00279.jpg,5,-5,2
00280.jpg,20,16,2
00281.jpg,20,16,2
00282.jpg,20,15,2
00283.jpg,19,14,2
00284.jpg,5,-5,2
00285.jpg,13,12,2
00286.jpg,5,-5,2
00287.jpg,5,-5,2
00288.jpg,12,13,2
00289.jpg,10,12,2
00290.jpg,-5,5,2
00291.jpg,2,3,2
00292.jpg,0,0,2
00293.jpg,0,0,2
00294.jpg,0,0,2
00295.jpg,0,0,2
00296.jpg,0,0,2
00297.jpg,0,0,2
00298.jpg,0,0,2
00299.jpg,0,0,2
00300.jpg,0,0,2
00301.jpg,0,0,2
00302.jpg,5,-5,3
00303.jpg,5,-5,3
00304.jpg,5,-5,3
00305.jpg,5,-5,3
00306.jpg,5,-5,3
00307.jpg,5,-5,3
00308.jpg,5,-5,3
00309.jpg,5,-5,3
00310.jpg,5,-5,3
00311.jpg,5,-5,3
00312.jpg,5,-5,3
00313.jpg,5,-5,3
00314.jpg,5,-5,3
00315.jpg,5,-5,3
00316.jpg,5,-5,3
00317.jpg,5,-5,3
00318.jpg,5,-5,3
00319.jpg,5,-5,3
00320.jpg,5,-5,3
00321.jpg,5,-5,3
00322.jpg,5,-5,3
00323.jpg,5,-5,3
00324.jpg,5,-5,3
00325.jpg,5,-5,3
00326.jpg,5,-5,3
00327.jpg,5,-5,3
00328.jpg,5,-5,3
00329.jpg,5,-5,3
00330.jpg,5,-5,3
00331.jpg,5,-5,3
00332.jpg,5,-5,3
00333.jpg,5,-5,3
00334.jpg,5,-5,3
00335.jpg,5,-5,3
00336.jpg,5,-5,3
00337.jpg,5,-5,3
00338.jpg,5,-5,3
00339.jpg,5,-5,3
00340.jpg,5,-5,3
00341.jpg,5,-5,3
00342.jpg,5,-5,3
00343.jpg,5,-5,3
00344.jpg,5,-5,3
00345.jpg,5,-5,3
00346.jpg,5,-5,3
00347.jpg,5,-5,3
00348.jpg,5,-5,3
00349.jpg,5,-5,3
00350.jpg,5,-5,3
00351.jpg,5,-5,3
00352.jpg,5,-5,3
00353.jpg,5,-5,3
00354.jpg,5,-5,3
00355.jpg,5,-5,3
00356.jpg,5,-5,3
00357.jpg,5,-5,3
00358.jpg,5,-5,3
00359.jpg,5,-5,3
00360.jpg,5,-5,3
00361.jpg,5,-5,3
00362.jpg,5,-5,3
00363.jpg,5,-5,3
00364.jpg,5,-5,3
00365.jpg,5,-5,3
00366.jpg,5,-5,4
00367.jpg,5,-5,4
00368.jpg,5,-5,4
00369.jpg,5,-5,4
00370.jpg,30,20,4
00371.jpg,5,-5,4
00372.jpg,25,25,4
00373.jpg,22,28,4
00374.jpg,-5,5,4
00375.jpg,-5,5,4
00376.jpg,10,40,4
00377.jpg,7,43,4
00378.jpg,-5,5,4
00379.jpg,-5,5,4
00380.jpg,-5,5,4
00381.jpg,-5,5,4
00382.jpg,-5,5,4
00383.jpg,-5,5,4
00384.jpg,-5,5,4
00385.jpg,-5,5,4
00386.jpg,-5,5,4
00387.jpg,5,-5,5
00388.jpg,5,-5,5
00389.jpg,5,-5,5
00390.jpg,5,-5,5
00391.jpg,7,43,5
00392.jpg,-5,5,5
00393.jpg,-5,5,5
00394.jpg,-5,5,5
00395.jpg,-5,5,5
00396.jpg,-5,5,5
00397.jpg,2,44,5
00398.jpg,3,47,5
00399.jpg,6,44,5
00400.jpg,-5,5,5
00401.jpg,-5,5,5
00402.jpg,-5,5,5
00403.jpg,-5,5,5
00404.jpg,-5,5,5
00405.jpg,-5,5,5
00406.jpg,-5,5,5
00407.jpg,-5,5,5
00408.jpg,-5,5,5
00409.jpg,-5,5,5
00410.jpg,-5,5,5
00411.jpg,-5,5,5
00412.jpg,-5,5,5
00413.jpg,-5,5,5
00414.jpg,-5,5,5
00415.jpg,-5,5,5
00416.jpg,-5,5,5
00417.jpg,-5,5,5
00418.jpg,-5,5,5
00419.jpg,-5,5,5
00420.jpg,-5,5,5
00421.jpg,-5,5,5
00422.jpg,-5,5,5
00423.jpg,-5,5,5
00424.jpg,-5,5,5
00425.jpg,-5,5,5
00426.jpg,-5,5,5
00427.jpg,-5,5,5
00428.jpg,-5,5,5
00429.jpg,-5,5,5
00430.jpg,-5,5,5
00431.jpg,-5,5,5
00432.jpg,-5,5,5
00433.jpg,-5,5,5
00434.jpg,-5,5,5
00435.jpg,-5,5,5
00436.jpg,-5,5,5
00437.jpg,-5,5,5
00438.jpg,-5,5,5
00439.jpg,-5,5,5
00440.jpg,-5,5,5
00441.jpg,-5,5,5
00442.jpg,-5,5,5
00443.jpg,-5,5,5
00444.jpg,-5,5,5
00445.jpg,1,48,5
00446.jpg,1,44,5
00447.jpg,-5,5,5
00448.jpg,-5,5,5
00449.jpg,-5,5,5
00450.jpg,-5,5,5
00451.jpg,-5,5,5
00452.jpg,-5,5,5
00453.jpg,5,-5,6
00454.jpg,5,-5,6
00455.jpg,5,-5,6
00456.jpg,5,-5,6
00457.jpg,5,-5,6
00458.jpg,21,29,6
00459.jpg,-5,5,6
00460.jpg,15,33,6
00461.jpg,10,31,6
00462.jpg,10,30,6
00463.jpg,-5,5,6
00464.jpg,21,27,6
00465.jpg,-5,5,6
00466.jpg,-5,5,6
00467.jpg,-5,5,6
00468.jpg,-5,5,6
00469.jpg,19,7,6
00470.jpg,29,7,6
00471.jpg,5,-5,6
00472.jpg,5,-5,6
00473.jpg,5,-5,6
00474.jpg,42,8,6
00475.jpg,42,8,6
00476.jpg,5,-5,6
00477.jpg,5,-5,6
00478.jpg,18,16,6
00479.jpg,9,14,6
00480.jpg,5,10,6
00481.jpg,-5,5,6
00482.jpg,-5,5,6
00483.jpg,-5,5,6
00484.jpg,0,0,6
00485.jpg,0,0,6
00486.jpg,0,0,6
00487.jpg,1,2,6
00488.jpg,3,5,6
00489.jpg,4,7,6
00490.jpg,5,10,6
00491.jpg,7,12,6
00492.jpg,8,12,6
00493.jpg,6,8,6
00494.jpg,-5,5,6
00495.jpg,5,4,6
00496.jpg,4,3,6
00497.jpg,3,2,6
00498.jpg,1,1,6
00499.jpg,1,0,6
00500.jpg,0,0,6
00501.jpg,0,0,6
00502.jpg,0,0,6
00503.jpg,0,0,6
00504.jpg,0,0,6
00505.jpg,0,0,6
00506.jpg,0,0,6
00507.jpg,0,0,6
00508.jpg,1,0,6
00509.jpg,1,0,6
00510.jpg,1,0,6
00511.jpg,1,0,6
00512.jpg,1,0,6
00513.jpg,5,-5,7
00514.jpg,5,-5,7
00515.jpg,5,-5,7
00516.jpg,32,18,7
