filename,visible,grid_row,grid_col,x_offset,y_offset,w_frac,h_frac
00000.jpg,1,3,3,0.6832,0.0188,0.0867,0.2542
00001.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00002.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00003.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00004.jpg,1,3,3,0.6832,0.0236,0.0867,0.2556
00005.jpg,1,3,3,0.6832,0.0236,0.0867,0.2556
00006.jpg,1,3,3,0.6832,0.0285,0.0867,0.2569
00007.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00008.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00009.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00010.jpg,1,3,3,0.6832,0.0285,0.0867,0.2542
00011.jpg,1,3,3,0.6832,0.0236,0.0867,0.2556
00012.jpg,1,3,3,0.6969,0.0285,0.0875,0.2542
00013.jpg,1,3,3,0.7215,0.0333,0.0883,0.2556
00014.jpg,1,3,3,0.7844,0.0479,0.0891,0.2597
00015.jpg,1,3,3,0.8691,0.0479,0.0898,0.2597
00016.jpg,1,3,3,0.9730,0.0479,0.0914,0.2625
00017.jpg,1,3,4,0.1043,0.0431,0.0930,0.2639
00018.jpg,1,3,4,0.2820,0.0382,0.0953,0.2681
00019.jpg,1,3,4,0.4652,0.0479,0.0977,0.2708
00020.jpg,1,3,4,0.6730,0.0576,0.1008,0.2736
00021.jpg,1,3,4,0.9273,0.0674,0.1047,0.2792
00022.jpg,1,3,5,0.1215,0.0819,0.1070,0.2833
00023.jpg,1,3,5,0.2445,0.0868,0.1062,0.2875
00024.jpg,1,3,5,0.2801,0.0868,0.1070,0.2903
00025.jpg,1,3,5,0.2473,0.0917,0.1086,0.2917
00026.jpg,1,3,5,0.1324,0.0917,0.1086,0.2917
00027.jpg,1,3,4,0.9301,0.0917,0.1086,0.2917
00028.jpg,1,3,4,0.6758,0.0965,0.1078,0.2903
00029.jpg,1,3,4,0.4160,0.1062,0.1055,0.2875
00030.jpg,1,3,4,0.1180,0.1160,0.1047,0.2875
00031.jpg,1,3,3,0.7570,0.1257,0.1047,0.2875
00032.jpg,1,3,3,0.4480,0.1354,0.1039,0.2903
00033.jpg,1,3,3,0.2102,0.1403,0.1047,0.2944
00034.jpg,1,3,3,0.0078,0.1451,0.1078,0.2986
00035.jpg,1,3,2,0.8273,0.1597,0.1094,0.3028
00036.jpg,1,3,2,0.7453,0.1694,0.1094,0.3056
00037.jpg,1,3,2,0.7672,0.1743,0.1109,0.3069
00038.jpg,1,3,2,0.8711,0.1743,0.1125,0.3097
00039.jpg,1,3,3,0.0434,0.1743,0.1117,0.3097
00040.jpg,1,3,3,0.2812,0.1792,0.1125,0.3111
00041.jpg,1,3,3,0.7160,0.1792,0.1133,0.3167
00042.jpg,1,3,4,0.0688,0.1743,0.1156,0.3208
00043.jpg,1,3,4,0.3996,0.1938,0.1180,0.3264
00044.jpg,1,3,4,0.6812,0.2083,0.1203,0.3333
00045.jpg,1,3,4,0.8207,0.2181,0.1211,0.3389
00046.jpg,1,3,4,0.7496,0.2229,0.1227,0.3431
00047.jpg,1,3,4,0.4762,0.2229,0.1258,0.3431
00048.jpg,1,3,4,0.0961,0.2424,0.1266,0.3431
00049.jpg,1,3,3,0.6285,0.2667,0.1258,0.3472
00050.jpg,1,3,3,0.2156,0.3007,0.1281,0.3542
00051.jpg,1,3,2,0.8629,0.3299,0.1320,0.3625
00052.jpg,1,3,2,0.6086,0.3639,0.1359,0.3722
00053.jpg,1,3,2,0.4391,0.3882,0.1406,0.3819
00054.jpg,1,3,2,0.3215,0.4076,0.1445,0.3931
00055.jpg,1,3,2,0.3352,0.4174,0.1469,0.4014
00056.jpg,1,3,2,0.4527,0.4174,0.1477,0.4042
00057.jpg,1,3,2,0.5375,0.4368,0.1484,0.4097
00058.jpg,1,3,2,0.5730,0.4465,0.1508,0.4181
00059.jpg,1,3,2,0.6141,0.4708,0.1531,0.4278
00060.jpg,1,3,2,0.6879,0.4854,0.1539,0.4347
00061.jpg,1,3,2,0.7535,0.5097,0.1555,0.4417
00062.jpg,1,3,2,0.7891,0.5340,0.1594,0.4514
00063.jpg,1,3,2,0.7754,0.5729,0.1633,0.4625
00064.jpg,1,3,2,0.7480,0.6021,0.1664,0.4736
00065.jpg,1,3,2,0.7180,0.6313,0.1719,0.4875
00066.jpg,1,3,2,0.6934,0.6653,0.1773,0.5028
00067.jpg,1,3,2,0.6715,0.7042,0.1820,0.5167
00068.jpg,1,3,2,0.7398,0.7285,0.1844,0.5292
00069.jpg,1,3,2,0.9066,0.7479,0.1867,0.5375
00070.jpg,1,3,3,0.0926,0.7722,0.1883,0.5472
00071.jpg,1,3,3,0.2211,0.8111,0.1891,0.5639
00072.jpg,1,3,3,0.3168,0.8354,0.1945,0.5792
00073.jpg,1,3,3,0.4727,0.8597,0.1984,0.5944
00074.jpg,1,3,3,0.5793,0.8938,0.2023,0.6125
00075.jpg,1,3,3,0.6258,0.9472,0.2078,0.6333
00076.jpg,1,3,3,0.6805,0.9910,0.2141,0.6542
00077.jpg,1,4,3,0.7734,0.0396,0.2203,0.6764
00078.jpg,1,4,3,0.8609,0.0882,0.2281,0.6986
00079.jpg,1,4,3,0.9047,0.1514,0.2359,0.7250
00080.jpg,1,4,3,0.9211,0.2292,0.2437,0.7556
00081.jpg,1,4,3,0.8992,0.2681,0.2547,0.7806
00082.jpg,1,4,3,0.8035,0.2437,0.2664,0.7875
00083.jpg,1,4,3,0.6613,0.2292,0.2789,0.7917
00084.jpg,1,4,3,0.5766,0.2146,0.2906,0.7958
00085.jpg,1,4,3,0.5465,0.1854,0.3039,0.8042
00086.jpg,1,4,3,0.5574,0.1611,0.3133,0.8111
00087.jpg,1,4,3,0.5602,0.1611,0.3141,0.8111
00088.jpg,1,4,3,0.5602,0.1611,0.3141,0.8111
00089.jpg,1,4,3,0.5602,0.1611,0.3141,0.8111
00090.jpg,1,4,3,0.5602,0.1611,0.3141,0.8111
