filename,left_speed,right_speed
00000.jpg,-1,1
00001.jpg,-1,1
00002.jpg,-1,1
00003.jpg,-1,1
00004.jpg,-1,1
00005.jpg,-1,1
00006.jpg,-1,1
00007.jpg,-1,1
00008.jpg,-1,1
00009.jpg,-1,1
00010.jpg,-1,1
00011.jpg,-1,1
00012.jpg,-1,1
00013.jpg,-1,1
00014.jpg,-1,1
00015.jpg,-1,1
00016.jpg,-1,1
00017.jpg,-1,1
00018.jpg,-1,1
00019.jpg,-1,1
00020.jpg,-1,1
00021.jpg,-1,1
00022.jpg,-1,1
00023.jpg,-1,1
00024.jpg,-1,1
00025.jpg,-1,1
00026.jpg,-1,1
00027.jpg,-1,1
00028.jpg,-1,1
00029.jpg,-1,1
00030.jpg,-1,1
00031.jpg,-1,1
00032.jpg,-1,1
00033.jpg,-1,1
00034.jpg,-1,1
00035.jpg,-1,1
00036.jpg,-1,1
00037.jpg,-1,1
00038.jpg,-1,1
00039.jpg,-1,1
00040.jpg,-1,1
00041.jpg,-1,1
00042.jpg,-1,1
00043.jpg,-1,1
00044.jpg,-1,1
00045.jpg,-1,1
00046.jpg,-1,1
00047.jpg,-1,1
00048.jpg,-1,1
00049.jpg,-1,1
00050.jpg,-1,1
00051.jpg,-1,1
00052.jpg,-1,1
00053.jpg,-1,1
00054.jpg,-1,1
00055.jpg,-1,1
00056.jpg,-1,1
00057.jpg,-1,1
00058.jpg,-1,1
00059.jpg,-1,1
00060.jpg,-1,1
00061.jpg,-1,1
00062.jpg,-1,1
00063.jpg,-1,1
00064.jpg,-1,1
00065.jpg,-1,0
00066.jpg,5,1
00067.jpg,9,4
00068.jpg,9,7
00069.jpg,11,7
00070.jpg,14,12
00071.jpg,16,12
00072.jpg,19,16
00073.jpg,19,16
00074.jpg,25,19
00075.jpg,26,22
00076.jpg,28,22
00077.jpg,28,22
00078.jpg,28,22
00079.jpg,28,23
00080.jpg,28,26
00081.jpg,28,26
00082.jpg,28,26
00083.jpg,28,28
00084.jpg,28,28
00085.jpg,28,28
00086.jpg,28,28
00087.jpg,28,29
00088.jpg,28,29
00089.jpg,28,33
00090.jpg,31,33
00091.jpg,31,33
00092.jpg,31,35
00093.jpg,32,35
00094.jpg,34,38
00095.jpg,34,38
00096.jpg,35,38
00097.jpg,35,38
00098.jpg,35,38
00099.jpg,35,38
00100.jpg,35,40
00101.jpg,35,40
00102.jpg,35,40
00103.jpg,35,41
00104.jpg,35,41
00105.jpg,35,43
00106.jpg,37,43
00107.jpg,37,43
00108.jpg,37,43
00109.jpg,37,43
00110.jpg,38,43
00111.jpg,38,43
00112.jpg,38,43
00113.jpg,38,43
00114.jpg,40,43
00115.jpg,40,43
00116.jpg,40,43
00117.jpg,43,43
00118.jpg,43,43
00119.jpg,43,43
00120.jpg,43,45
00121.jpg,43,48
00122.jpg,43,48
00123.jpg,43,48
00124.jpg,43,48
00125.jpg,43,48
00126.jpg,43,47
00127.jpg,43,47
00128.jpg,42,48
00129.jpg,42,48
00130.jpg,42,47
00131.jpg,42,47
00132.jpg,43,45
00133.jpg,43,42
00134.jpg,43,38
00135.jpg,45,38
00136.jpg,45,36
00137.jpg,45,33
00138.jpg,47,33
00139.jpg,47,33
00140.jpg,47,32
00141.jpg,47,32
00142.jpg,48,32
00143.jpg,48,35
00144.jpg,48,35
00145.jpg,48,35
00146.jpg,48,38
00147.jpg,48,38
00148.jpg,48,40
00149.jpg,47,43
00150.jpg,45,43
00151.jpg,45,43
00152.jpg,45,44
00153.jpg,45,46
00154.jpg,45,46
00155.jpg,45,44
00156.jpg,45,47
00157.jpg,42,47
00158.jpg,42,47
00159.jpg,45,47
00160.jpg,44,47
00161.jpg,44,47
00162.jpg,42,47
00163.jpg,42,47
00164.jpg,42,47
00165.jpg,45,47
00166.jpg,45,47
00167.jpg,47,47
00168.jpg,47,47
00169.jpg,50,47
00170.jpg,54,47
00171.jpg,54,47
00172.jpg,51,47
00173.jpg,48,47
00174.jpg,48,47
00175.jpg,48,47
00176.jpg,48,47
00177.jpg,48,47
00178.jpg,48,47
00179.jpg,48,47
00180.jpg,48,47
00181.jpg,48,47
00182.jpg,48,47
00183.jpg,48,47
00184.jpg,48,47
00185.jpg,48,47
00186.jpg,48,47
00187.jpg,48,47
00188.jpg,48,47
00189.jpg,48,47
00190.jpg,48,47
00191.jpg,48,47
00192.jpg,48,47
00193.jpg,48,47
00194.jpg,48,47
00195.jpg,48,47
00196.jpg,48,47
00197.jpg,48,47
00198.jpg,48,47
00199.jpg,48,48
00200.jpg,48,48
00201.jpg,48,48
00202.jpg,48,48
00203.jpg,48,48
00204.jpg,48,48
00205.jpg,48,48
00206.jpg,48,48
00207.jpg,48,48
00208.jpg,48,48
00209.jpg,48,50
00210.jpg,48,50
00211.jpg,46,50
00212.jpg,46,50
00213.jpg,46,50
00214.jpg,46,50
00215.jpg,46,50
00216.jpg,48,50
00217.jpg,48,50
00218.jpg,48,50
00219.jpg,48,49
00220.jpg,48,49
00221.jpg,48,49
00222.jpg,48,49
00223.jpg,48,49
00224.jpg,48,49
00225.jpg,48,49
00226.jpg,48,49
00227.jpg,48,49
00228.jpg,48,49
00229.jpg,48,49
00230.jpg,48,47
00231.jpg,48,47
00232.jpg,48,47
00233.jpg,48,47
00234.jpg,48,47
00235.jpg,48,47
00236.jpg,48,47
00237.jpg,48,47
00238.jpg,48,47
00239.jpg,48,47
00240.jpg,48,47
00241.jpg,48,47
00242.jpg,48,50
00243.jpg,48,50
00244.jpg,48,50
00245.jpg,48,50
00246.jpg,47,50
00247.jpg,47,50
00248.jpg,47,50
00249.jpg,47,50
00250.jpg,48,50
00251.jpg,48,50
00252.jpg,48,50
00253.jpg,47,50
00254.jpg,47,50
00255.jpg,47,50
00256.jpg,45,50
00257.jpg,45,50
00258.jpg,45,50
00259.jpg,45,50
00260.jpg,44,50
00261.jpg,44,50
