filename,left_speed,right_speed
00000.jpg,0,0
00001.jpg,0,0
00002.jpg,0,0
00003.jpg,0,0
00004.jpg,0,0
00005.jpg,0,0
00006.jpg,0,0
00007.jpg,0,0
00008.jpg,0,0
00009.jpg,0,0
00010.jpg,10,13
00011.jpg,17,17
00012.jpg,17,17
00013.jpg,17,17
00014.jpg,17,17
00015.jpg,17,17
00016.jpg,17,17
00017.jpg,17,17
00018.jpg,17,17
00019.jpg,17,17
00020.jpg,17,17
00021.jpg,17,17
00022.jpg,17,17
00023.jpg,17,17
00024.jpg,17,17
00025.jpg,17,17
00026.jpg,17,17
00027.jpg,17,17
00028.jpg,17,17
00029.jpg,17,17
00030.jpg,17,17
00031.jpg,17,17
00032.jpg,17,17
00033.jpg,17,9
00034.jpg,17,6
00035.jpg,17,17
00036.jpg,17,17
00037.jpg,17,17
00038.jpg,17,17
00039.jpg,17,17
00040.jpg,17,17
00041.jpg,17,17
00042.jpg,17,17
00043.jpg,17,17
00044.jpg,17,17
00045.jpg,17,17
00046.jpg,17,17
00047.jpg,17,17
00048.jpg,17,17
00049.jpg,17,17
00050.jpg,17,17
00051.jpg,17,15
00052.jpg,17,17
00053.jpg,17,17
00054.jpg,17,17
00055.jpg,17,17
00056.jpg,17,17
00057.jpg,17,17
00058.jpg,17,17
00059.jpg,17,17
00060.jpg,17,17
00061.jpg,17,17
00062.jpg,17,17
00063.jpg,17,17
00064.jpg,17,17
00065.jpg,17,16
00066.jpg,17,17
00067.jpg,17,17
00068.jpg,17,17
00069.jpg,17,17
00070.jpg,0,0
00071.jpg,0,0
00072.jpg,0,0
00073.jpg,0,0
00074.jpg,0,0
00075.jpg,0,0
00076.jpg,0,0
00077.jpg,0,0
00078.jpg,0,0
00079.jpg,0,0
00080.jpg,0,0
00081.jpg,0,0
00082.jpg,0,0
00083.jpg,0,0
00084.jpg,0,0
00085.jpg,0,0
00086.jpg,0,0
00087.jpg,0,0
00088.jpg,0,0
00089.jpg,0,0
00090.jpg,0,0
00091.jpg,0,0
00092.jpg,0,0
00093.jpg,0,0
00094.jpg,0,0
00095.jpg,0,0
00096.jpg,0,0
00097.jpg,0,0
00098.jpg,0,0
00099.jpg,0,0
00100.jpg,0,0
00101.jpg,-2,-5
00102.jpg,-15,-16
00103.jpg,-17,-17
00104.jpg,0,0
00105.jpg,0,0
00106.jpg,0,0
00107.jpg,0,0
00108.jpg,0,-4
00109.jpg,0,-17
00110.jpg,0,0
00111.jpg,0,0
00112.jpg,0,0
00113.jpg,0,0
00114.jpg,0,0
00115.jpg,0,-4
00116.jpg,0,-11
00117.jpg,0,0
00118.jpg,0,0
00119.jpg,0,0
00120.jpg,0,0
00121.jpg,0,0
00122.jpg,0,0
00123.jpg,0,0
00124.jpg,0,0
00125.jpg,2,0
00126.jpg,3,0
00127.jpg,3,0
00128.jpg,0,0
00129.jpg,0,0
00130.jpg,0,0
00131.jpg,7,0
00132.jpg,11,0
00133.jpg,0,0
00134.jpg,0,0
00135.jpg,0,0
00136.jpg,0,0
00137.jpg,0,0
00138.jpg,0,0
00139.jpg,-11,0
00140.jpg,-11,0
00141.jpg,0,0
00142.jpg,0,0
00143.jpg,0,0
00144.jpg,-2,0
00145.jpg,-17,0
00146.jpg,-8,0
00147.jpg,0,0
00148.jpg,0,0
00149.jpg,0,0
00150.jpg,0,0
00151.jpg,0,0
00152.jpg,0,0
00153.jpg,0,0
00154.jpg,0,0
00155.jpg,0,0
00156.jpg,0,0
00157.jpg,0,0
00158.jpg,0,0
00159.jpg,0,0
00160.jpg,0,0
00161.jpg,0,0
00162.jpg,0,0
00163.jpg,0,0
00164.jpg,0,0
00165.jpg,0,0
00166.jpg,0,0
00167.jpg,0,0
00168.jpg,0,0
00169.jpg,0,0
00170.jpg,0,0
00171.jpg,0,0
00172.jpg,0,0
00173.jpg,0,0
00174.jpg,0,0
00175.jpg,0,0
00176.jpg,0,0
00177.jpg,0,0
00178.jpg,0,0
00179.jpg,0,0
00180.jpg,0,0
00181.jpg,0,0
00182.jpg,0,0
00183.jpg,0,3
00184.jpg,0,6
00185.jpg,0,8
00186.jpg,0,8
00187.jpg,0,8
00188.jpg,0,8
00189.jpg,0,8
00190.jpg,0,8
00191.jpg,0,7
00192.jpg,0,6
00193.jpg,0,3
00194.jpg,0,0
00195.jpg,0,0
00196.jpg,0,0
00197.jpg,0,0
00198.jpg,2,1
00199.jpg,2,1
00200.jpg,2,1
00201.jpg,2,0
00202.jpg,0,0
00203.jpg,0,0
00204.jpg,0,0
00205.jpg,0,0
00206.jpg,0,0
00207.jpg,12,0
00208.jpg,2,0
00209.jpg,0,0
00210.jpg,0,0
00211.jpg,0,0
00212.jpg,0,0
00213.jpg,0,0
00214.jpg,0,0
00215.jpg,4,0
00216.jpg,16,0
00217.jpg,2,0
00218.jpg,0,0
00219.jpg,0,0
00220.jpg,0,0
00221.jpg,0,0
00222.jpg,5,5
00223.jpg,17,14
00224.jpg,17,17
00225.jpg,17,17
00226.jpg,17,17
00227.jpg,17,17
00228.jpg,17,17
00229.jpg,17,17
00230.jpg,17,17
00231.jpg,17,17
00232.jpg,8,17
00233.jpg,17,17
00234.jpg,17,17
00235.jpg,17,17
00236.jpg,17,17
00237.jpg,17,17
00238.jpg,11,17
00239.jpg,0,17
00240.jpg,11,17
00241.jpg,17,17
00242.jpg,17,17
00243.jpg,17,17
00244.jpg,17,17
00245.jpg,17,17
00246.jpg,17,17
00247.jpg,17,17
00248.jpg,17,4
00249.jpg,17,17
00250.jpg,17,17
00251.jpg,17,17
00252.jpg,17,17
00253.jpg,17,17
00254.jpg,17,17
00255.jpg,17,17
00256.jpg,17,17
00257.jpg,17,17
00258.jpg,17,17
00259.jpg,17,17
00260.jpg,17,15
00261.jpg,1,0
00262.jpg,0,0
00263.jpg,0,0
00264.jpg,0,0
00265.jpg,0,0
00266.jpg,0,0
00267.jpg,0,-15
00268.jpg,0,0
00269.jpg,0,0
00270.jpg,0,0
00271.jpg,0,0
00272.jpg,0,0
00273.jpg,0,-15
00274.jpg,0,0
00275.jpg,0,0
00276.jpg,0,0
00277.jpg,0,0
00278.jpg,0,0
00279.jpg,0,0
00280.jpg,0,-1
00281.jpg,0,0
00282.jpg,0,0
00283.jpg,0,-6
00284.jpg,0,0
00285.jpg,0,0
00286.jpg,0,0
00287.jpg,0,0
00288.jpg,0,0
00289.jpg,0,0
00290.jpg,1,0
00291.jpg,17,17
00292.jpg,17,17
00293.jpg,17,17
00294.jpg,0,0
00295.jpg,0,0
00296.jpg,0,0
00297.jpg,0,0
00298.jpg,8,8
00299.jpg,17,17
00300.jpg,17,17
00301.jpg,17,17
00302.jpg,17,17
00303.jpg,17,17
00304.jpg,17,17
00305.jpg,17,17
00306.jpg,17,17
00307.jpg,17,17
00308.jpg,17,17
00309.jpg,15,17
00310.jpg,0,0
00311.jpg,0,0
00312.jpg,0,0
00313.jpg,0,0
00314.jpg,0,0
00315.jpg,0,0
00316.jpg,0,0
00317.jpg,0,0
00318.jpg,0,0
00319.jpg,0,0
00320.jpg,0,0
00321.jpg,0,0
00322.jpg,0,0
00323.jpg,0,0
00324.jpg,0,0
00325.jpg,0,0
00326.jpg,0,0
00327.jpg,0,0
00328.jpg,0,0
00329.jpg,0,0
00330.jpg,0,0
00331.jpg,0,0
00332.jpg,0,0
00333.jpg,0,0
00334.jpg,0,0
00335.jpg,0,0
00336.jpg,0,0
00337.jpg,0,0
00338.jpg,0,0
00339.jpg,0,0
00340.jpg,0,0
00341.jpg,0,0
00342.jpg,0,0
00343.jpg,0,0
00344.jpg,0,0
