filename,category
00000.jpg,straight
00001.jpg,straight
00002.jpg,straight
00003.jpg,straight
00004.jpg,straight
00005.jpg,straight
00006.jpg,straight
00007.jpg,straight
00008.jpg,straight
00009.jpg,straight
00010.jpg,straight
00011.jpg,straight
00012.jpg,straight
00013.jpg,straight
00014.jpg,straight
00015.jpg,straight
00016.jpg,straight
00017.jpg,soft_right
00018.jpg,soft_right
00019.jpg,soft_right
00020.jpg,soft_right
00021.jpg,soft_right
00022.jpg,soft_right
00023.jpg,soft_right
00024.jpg,soft_right
00025.jpg,soft_right
00026.jpg,soft_right
00027.jpg,soft_right
00028.jpg,soft_right
00029.jpg,soft_right
00030.jpg,soft_right
00031.jpg,straight
00032.jpg,straight
00033.jpg,straight
00034.jpg,straight
00035.jpg,soft_left
00036.jpg,soft_left
00037.jpg,soft_left
00038.jpg,soft_left
00039.jpg,straight
00040.jpg,straight
00041.jpg,straight
00042.jpg,soft_right
00043.jpg,soft_right
00044.jpg,soft_right
00045.jpg,soft_right
00046.jpg,soft_right
00047.jpg,soft_right
00048.jpg,soft_right
00049.jpg,straight
00050.jpg,straight
00051.jpg,soft_left
00052.jpg,soft_left
00053.jpg,soft_left
00054.jpg,soft_left
00055.jpg,soft_left
00056.jpg,soft_left
00057.jpg,soft_left
00058.jpg,soft_left
00059.jpg,soft_left
00060.jpg,soft_left
00061.jpg,soft_left
00062.jpg,soft_left
00063.jpg,soft_left
00064.jpg,soft_left
00065.jpg,soft_left
00066.jpg,soft_left
00067.jpg,soft_left
00068.jpg,soft_left
00069.jpg,soft_left
00070.jpg,straight
00071.jpg,straight
00072.jpg,straight
00073.jpg,straight
00074.jpg,straight
00075.jpg,straight
00076.jpg,straight
00077.jpg,straight
00078.jpg,straight
00079.jpg,straight
00080.jpg,straight
00081.jpg,straight
00082.jpg,straight
00083.jpg,straight
00084.jpg,straight
00085.jpg,stop
00086.jpg,stop
00087.jpg,stop
00088.jpg,stop
00089.jpg,stop
00090.jpg,stop
00091.jpg,stop
00092.jpg,stop
00093.jpg,stop
00094.jpg,stop
00095.jpg,stop
00096.jpg,stop
00097.jpg,stop
00098.jpg,stop
00099.jpg,stop
00100.jpg,stop
00101.jpg,stop
00102.jpg,stop
00103.jpg,stop
00104.jpg,stop
00105.jpg,stop
00106.jpg,stop
00107.jpg,stop
00108.jpg,stop
00109.jpg,stop
00110.jpg,soft_left
00111.jpg,soft_left
00112.jpg,soft_left
00113.jpg,soft_left
00114.jpg,soft_left
00115.jpg,soft_left
00116.jpg,soft_left
00117.jpg,soft_left
00118.jpg,soft_left
00119.jpg,soft_left
00120.jpg,hard_left
00121.jpg,hard_left
00122.jpg,hard_left
00123.jpg,hard_left
00124.jpg,hard_left
00125.jpg,hard_left
00126.jpg,hard_left
00127.jpg,hard_left
00128.jpg,hard_left
00129.jpg,hard_left
00130.jpg,hard_left
00131.jpg,soft_left
00132.jpg,soft_left
00133.jpg,soft_left
00134.jpg,soft_left
00135.jpg,soft_left
00136.jpg,soft_left
00137.jpg,soft_left
00138.jpg,soft_left
00139.jpg,soft_left
00140.jpg,soft_left
00141.jpg,soft_left
00142.jpg,soft_left
00143.jpg,soft_left
00144.jpg,soft_left
00145.jpg,soft_left
00146.jpg,soft_left
00147.jpg,soft_left
00148.jpg,soft_left
00149.jpg,soft_left
00150.jpg,soft_left
00151.jpg,straight
00152.jpg,straight
00153.jpg,straight
00154.jpg,straight
00155.jpg,straight
00156.jpg,straight
00157.jpg,straight
00158.jpg,straight
00159.jpg,straight
00160.jpg,straight
00161.jpg,straight
00162.jpg,straight
00163.jpg,straight
00164.jpg,straight
00165.jpg,straight
00166.jpg,soft_right
00167.jpg,soft_right
00168.jpg,soft_right
00169.jpg,soft_right
00170.jpg,soft_right
00171.jpg,soft_right
00172.jpg,soft_right
