filename,cx_norm,area_frac,visible
00000.jpg,0.0524,0.0211,1
00001.jpg,0.0525,0.0210,1
00002.jpg,0.0525,0.0210,1
00003.jpg,0.0525,0.0210,1
00004.jpg,0.0525,0.0211,1
00005.jpg,0.0525,0.0211,1
00006.jpg,0.0525,0.0210,1
00007.jpg,0.0525,0.0210,1
00008.jpg,0.0525,0.0210,1
00009.jpg,0.0525,0.0210,1
00010.jpg,0.0524,0.0210,1
00011.jpg,0.0527,0.0211,1
00012.jpg,0.0564,0.0211,1
00013.jpg,0.0635,0.0213,1
00014.jpg,0.0818,0.0219,1
00015.jpg,0.1055,0.0222,1
00016.jpg,0.1351,0.0227,1
00017.jpg,0.1726,0.0233,1
00018.jpg,0.2225,0.0242,1
00019.jpg,0.2751,0.0249,1
00020.jpg,0.3345,0.0259,1
00021.jpg,0.4063,0.0273,1
00022.jpg,0.4619,0.0279,1
00023.jpg,0.4972,0.0283,1
00024.jpg,0.5076,0.0287,1
00025.jpg,0.4974,0.0292,1
00026.jpg,0.4652,0.0293,1
00027.jpg,0.4080,0.0293,1
00028.jpg,0.3353,0.0289,1
00029.jpg,0.2608,0.0285,1
00030.jpg,0.1761,0.0285,1
00031.jpg,0.0725,0.0283,1
00032.jpg,-0.0147,0.0285,1
00033.jpg,-0.0832,0.0290,1
00034.jpg,-0.1410,0.0299,1
00035.jpg,-0.1923,0.0311,1
00036.jpg,-0.2156,0.0315,1
00037.jpg,-0.2090,0.0320,1
00038.jpg,-0.1795,0.0324,1
00039.jpg,-0.1306,0.0326,1
00040.jpg,-0.0626,0.0327,1
00041.jpg,0.0614,0.0336,1
00042.jpg,0.1621,0.0350,1
00043.jpg,0.2568,0.0364,1
00044.jpg,0.3369,0.0378,1
00045.jpg,0.3766,0.0385,1
00046.jpg,0.3566,0.0393,1
00047.jpg,0.2763,0.0400,1
00048.jpg,0.1690,0.0406,1
00049.jpg,0.0356,0.0411,1
00050.jpg,-0.0811,0.0427,1
00051.jpg,-0.1815,0.0451,1
00052.jpg,-0.2544,0.0473,1
00053.jpg,-0.3026,0.0501,1
00054.jpg,-0.3364,0.0527,1
00055.jpg,-0.3311,0.0547,1
00056.jpg,-0.2978,0.0557,1
00057.jpg,-0.2737,0.0569,1
00058.jpg,-0.2633,0.0588,1
00059.jpg,-0.2518,0.0611,1
00060.jpg,-0.2303,0.0627,1
00061.jpg,-0.2116,0.0646,1
00062.jpg,-0.2010,0.0670,1
00063.jpg,-0.2050,0.0704,1
00064.jpg,-0.2125,0.0738,1
00065.jpg,-0.2210,0.0778,1
00066.jpg,-0.2279,0.0822,1
00067.jpg,-0.2339,0.0868,1
00068.jpg,-0.2134,0.0907,1
00069.jpg,-0.1648,0.0933,1
00070.jpg,-0.1117,0.0955,1
00071.jpg,-0.0754,0.0985,1
00072.jpg,-0.0490,0.1038,1
00073.jpg,-0.0044,0.1087,1
00074.jpg,0.0262,0.1139,1
00075.jpg,0.0401,0.1207,1
00076.jpg,0.0561,0.1283,1
00077.jpg,0.0821,0.1364,1
00078.jpg,0.1066,0.1450,1
00079.jpg,0.1196,0.1546,1
00080.jpg,0.1243,0.1660,1
00081.jpg,0.1186,0.1807,1
00082.jpg,0.0910,0.1958,1
00083.jpg,0.0493,0.2089,1
00084.jpg,0.0248,0.2197,1
00085.jpg,0.0170,0.2320,1
00086.jpg,0.0209,0.2406,1
00087.jpg,0.0209,0.2410,1
00088.jpg,0.0209,0.2413,1
00089.jpg,0.0210,0.2414,1
00090.jpg,0.0210,0.2413,1
00091.jpg,0.0210,0.2413,1
00092.jpg,0.0210,0.2414,1
00093.jpg,0.0210,0.2415,1
