filename,motor_speed
00000.jpg,-40
00001.jpg,-40
00002.jpg,-40
00003.jpg,-40
00004.jpg,-40
00005.jpg,-40
00006.jpg,-40
00007.jpg,-40
00008.jpg,-40
00009.jpg,-40
00010.jpg,-40
00011.jpg,40
00012.jpg,40
00013.jpg,40
00014.jpg,40
00015.jpg,-40
00016.jpg,-40
00017.jpg,-40
00018.jpg,-40
00019.jpg,-40
00020.jpg,-40
00021.jpg,-40
00022.jpg,-40
00023.jpg,-40
00024.jpg,-40
00025.jpg,-40
00026.jpg,-40
00027.jpg,-40
00028.jpg,-40
00029.jpg,-40
00030.jpg,-40
00031.jpg,-40
00032.jpg,-40
00033.jpg,-40
00034.jpg,-40
00035.jpg,-40
00036.jpg,-40
00037.jpg,-20
00038.jpg,-20
00039.jpg,-20
00040.jpg,-20
00041.jpg,-20
00042.jpg,-20
00043.jpg,-20
00044.jpg,-20
00045.jpg,-20
00046.jpg,-20
00047.jpg,-20
00048.jpg,-20
00049.jpg,-20
00050.jpg,-20
00051.jpg,-20
00052.jpg,-20
00053.jpg,-20
00054.jpg,-20
00055.jpg,-20
00056.jpg,-20
00057.jpg,-20
00058.jpg,-20
00059.jpg,-20
00060.jpg,-20
00061.jpg,-20
00062.jpg,-20
00063.jpg,20
00064.jpg,20
00065.jpg,20
00066.jpg,20
00067.jpg,20
00068.jpg,20
00069.jpg,-20
00070.jpg,-20
00071.jpg,-20
00072.jpg,-20
00073.jpg,20
00074.jpg,20
00075.jpg,20
00076.jpg,20
00077.jpg,-20
00078.jpg,-20
00079.jpg,20
00080.jpg,20
00081.jpg,-10
00082.jpg,-10
00083.jpg,-10
00084.jpg,-10
00085.jpg,-10
00086.jpg,-10
00087.jpg,-10
00088.jpg,-10
00089.jpg,-10
00090.jpg,-10
00091.jpg,-10
00092.jpg,-10
00093.jpg,-10
00094.jpg,-10
00095.jpg,-10
00096.jpg,-10
00097.jpg,-10
00098.jpg,-10
00099.jpg,-10
00100.jpg,-10
00101.jpg,-10
00102.jpg,-10
00103.jpg,-10
00104.jpg,-10
00105.jpg,-10
00106.jpg,-10
00107.jpg,-10
00108.jpg,-10
00109.jpg,-10
00110.jpg,-10
00111.jpg,-10
00112.jpg,-10
00113.jpg,-10
00114.jpg,-10
00115.jpg,-10
00116.jpg,-10
00117.jpg,-10
00118.jpg,-10
00119.jpg,-10
00120.jpg,-10
00121.jpg,-10
00122.jpg,10
00123.jpg,10
00124.jpg,10
00125.jpg,10
00126.jpg,10
00127.jpg,10
00128.jpg,10
00129.jpg,10
00130.jpg,10
00131.jpg,10
00132.jpg,10
00133.jpg,10
00134.jpg,10
00135.jpg,10
00136.jpg,10
00137.jpg,10
00138.jpg,10
00139.jpg,10
00140.jpg,10
00141.jpg,10
00142.jpg,10
00143.jpg,10
00144.jpg,10
00145.jpg,10
00146.jpg,10
00147.jpg,10
00148.jpg,10
00149.jpg,10
00150.jpg,10
00151.jpg,10
00152.jpg,10
00153.jpg,10
00154.jpg,10
00155.jpg,10
00156.jpg,10
00157.jpg,10
00158.jpg,10
00159.jpg,10
00160.jpg,10
00161.jpg,10
00162.jpg,10
00163.jpg,10
00164.jpg,10
00165.jpg,10
00166.jpg,10
00167.jpg,10
00168.jpg,10
00169.jpg,10
00170.jpg,10
00171.jpg,10
00172.jpg,10
00173.jpg,10
00174.jpg,10
00175.jpg,10
00176.jpg,10
00177.jpg,10
00178.jpg,10
00179.jpg,10
00180.jpg,-10
00181.jpg,-10
00182.jpg,-10
00183.jpg,-10
00184.jpg,-10
00185.jpg,-10
00186.jpg,-10
00187.jpg,-10
00188.jpg,-10
00189.jpg,-10
00190.jpg,-10
00191.jpg,-10
00192.jpg,-10
00193.jpg,-10
00194.jpg,-10
00195.jpg,-10
00196.jpg,-10
00197.jpg,-10
00198.jpg,-10
00199.jpg,-10
00200.jpg,-10
00201.jpg,-10
00202.jpg,-10
00203.jpg,-10
00204.jpg,-10
00205.jpg,-10
00206.jpg,-10
00207.jpg,-10
00208.jpg,-10
00209.jpg,-10
00210.jpg,-10
00211.jpg,-10
00212.jpg,-10
00213.jpg,-10
00214.jpg,-10
00215.jpg,-10
00216.jpg,-10
00217.jpg,-10
00218.jpg,-10
00219.jpg,-10
00220.jpg,-10
00221.jpg,-10
00222.jpg,-10
00223.jpg,-10
00224.jpg,-10
00225.jpg,-10
00226.jpg,-10
00227.jpg,-10
00228.jpg,-10
00229.jpg,-10
00230.jpg,-10
00231.jpg,-10
00232.jpg,-10
00233.jpg,-10
00234.jpg,-10
00235.jpg,-10
00236.jpg,-10
00237.jpg,-10
00238.jpg,-10
00239.jpg,-10
00240.jpg,-10
00241.jpg,-10
00242.jpg,-10
00243.jpg,-10
00244.jpg,-10
00245.jpg,-10
00246.jpg,-10
00247.jpg,-10
00248.jpg,-10
00249.jpg,-10
00250.jpg,10
00251.jpg,10
00252.jpg,10
00253.jpg,10
00254.jpg,10
00255.jpg,10
00256.jpg,10
00257.jpg,10
00258.jpg,10
00259.jpg,10
00260.jpg,10
00261.jpg,10
00262.jpg,10
00263.jpg,10
00264.jpg,10
00265.jpg,10
00266.jpg,10
00267.jpg,10
00268.jpg,10
00269.jpg,10
00270.jpg,10
00271.jpg,10
00272.jpg,10
00273.jpg,10
00274.jpg,10
00275.jpg,10
00276.jpg,10
00277.jpg,10
00278.jpg,-10
00279.jpg,-10
